Company Name,Website,Location,Contact Person,Role (Contact Person),Phone Number,Email,Brands Distributed,Equipment Categories Offered,Key Parts and Components Available
Over 30 years of experience offering HVAC and hydronic supplies and solutions in Ontario.,https://digelair.com,,,,(613) 723-0359,,"Gree, Mitsubishi Electric, Panasonic","Air conditioner, Boiler, Chiller, Furnace, Heat pump, Ventilation","Duct, Fan"
,https://panasonic.com,,,,,,,,
Panasonic HVAC – Master Import Representative USA HVAC Specialty,https://panasonichvac.com,,,,(888) 932-4623,,Panasonic,"Heat pump, Mini split",Duct
,https://hvac365.com,,,,,,,,
,https://payne.com,,,,,,,,
Packaged Unit Systems,https://hvacstore.com,,,,(833) 658-3387,support@hvacstore.com,"Daikin, Goodman, Quietflex, Reznor","Air conditioner, Air handler, Furnace, Heat pump, Mini split, Packaged unit","Blower, Coil, Duct, Fan, Motor, Seal"
,https://pacesupply.com,,,,,,,,
We're an HVAC Wholesale Supply Distributor Servicing the USA,https://polarairdirect.com,,,,(863) 353-6843,,"Daikin, Goodman, Gree, Honeywell, ICP, LG, Nu-Calgon, Quietflex, Rheem","Air handler, Furnace, Heat pump, Mini split, Packaged unit, Thermostat","Coil, Drain pan, Duct, Heat strip, Seal, Thermostat"
CALIFORNIAS LEADING INSULATION DISTRIBUTOR,https://prosourceinsulation.com,,,,(800) 387-7698,SALES@PROSOURCEINS.COM,"Gree, Lennox, Quietflex",,"Duct, Insulation, Seal"
DEMAND THE BEST.,https://quietflex.com,,,,(877) 694-3669,o@JO.TF,Quietflex,,Duct
,https://ssdhvac.com,,,,,,,,
,https://reznorheaters.com,,,,,,,,
Reznor HVAC – North America,https://reznorhvac.com,,,,,,Reznor,"Air handler, Furnace, Thermostat","Duct, Thermostat"
"Wholesale HVAC Equipment, Parts and Supplies since 1974",https://amscosupply.net,,,,(918) 743-9100,,Rheem,,"Coil, Duct"
Rheem Manufacturing Company,https://rheem.com,,,,,,"Gree, Rheem, York","Air conditioner, Air handler, Boiler, Furnace, Heat pump","Coil, Duct"
"The Rheem Team – Global Leader and Manufacturer of Heating, Cooling, and Water Heating Products",https://therheemteam.com,,,,,,Rheem,"Thermostat, Ventilation","Compressor, Duct, Thermostat"
WHY MAR-HY DISTRIBUTORS,https://marhy.com,,,,(503) 353-0100,,"Daikin, Ruud","Air conditioner, Air handler, Furnace, Heat pump, Mini split",Duct
"Reliable Water Heaters, Tankless Water Heaters, and HVAC Systems - Ruud",https://ruud.com,,,,,mediainquiries@rheem.com,"Gree, Rheem, Ruud","Air conditioner, Air handler, Boiler, Controls, Furnace, Heat pump, Mini split, Thermostat","Coil, Duct, Filter, Thermostat"
Home - Ruud Pro Partners,https://ruudpropartners.com,,,,(503) 303-7420,,Ruud,"Furnace, Heat pump",Duct
HOME,https://theruudcrew.com,,,,,mediainquiries@rheem.com,"Gree, Rheem, Ruud","Air conditioner, Air handler, Controls, Furnace, Heat pump, Thermostat","Duct, Refrigerant, Thermostat"
Webb Supply,https://webbsupply.com,"619 E Tallmadge Ave., Akron, OH",,,(800) 994-9322,sales@webbsupply.com,"Ducane, Ruud, Samsung","Controls, Furnace, Heat pump, Mini split","Duct, Grille, Motor"
Samsung,https://samsung.com,,,,,tiendaonline.pe@samsung.com,"LG, Samsung",,Duct
Quiet performance. Elevated efficiency. Hylex™,https://samsunghvac.com,"North American Headquarters US and Canada Only 776 Henrietta Creek Road Suite 100 Roanoke, TX 76262",,,(817) 838-6066,,"Samsung, Trane","Controls, Furnace, Heat pump, Mini split","Air filter, Duct, Filter"
,https://dmsupplysource.com,,,,,,,,
,https://mcndist.com,,,,,,,,
Innovate with Schneider Electric,https://se.com,,,,,,Schneider,,Duct
Your leading parts specialist for off-road machinery,https://tvh.com,,,,056 43 42 11,,"Carrier, Danfoss, Gree, LG",,"Circuit board, Contactor, Contactors, Duct, Motor, Wheel"
,https://hvacbrain.com,,,,,,,,
,https://siemens-healthineers.com,,,,,,,,
Join us on a time travel with the Digital Twin!,https://siemens.com,,,,,,Siemens,,Duct
Siemens Branch and Partner Locator,https://ssi-locator.com,,,,,,Siemens,,
Integrating faith intothe workplace,https://acrsupply.com,,,,(919) 765-8081,info@acrsupply.com,"Fieldpiece, Gree, Honeywell, Johnson Controls, LG, Rheem, Sure Comfort, York",Heat pump,"Capacitor, Compressor, Duct, Expansion valve, Motor"
,https://etnasupply.com,,,,,,,,
Sure Comfort - Dependable HVAC Products for your Home and Business,https://surecomfort.com,,,,,MediaInquiries@Rheem.com,"Gree, Rheem, Sure Comfort","Air conditioner, Air handler, Furnace, Heat pump","Coil, Duct"
Sure Comfort Pros,https://surecomfortpros.com,,,,(856) 692-9374,,Sure Comfort,"Air conditioner, Air handler, Furnace, Heat pump, Mini split","Coil, Duct"
Ace Plumbing Heating Electrical Supplies,https://teamace.com,,,,(856) 692-9374,,"Fujitsu, Rheem, Sure Comfort",,"Duct, Fan, Sensor"
The Answer is Yes... Now What is the Question? - Corken Steel Products,https://corkensteel.com,,,,(859) 291-4664,,"Comfortmaker, Tempstar","Boiler, Controls, Furnace, Heat pump",Duct
,https://gotempstar.com,,,,,,,,
,https://tempstar.com,,,,,,,,
{{slide.tagline[0]}}{{slide.tagline[1]}},https://tempstardealer.com,,,,,,"Gree, Tempstar","Air conditioner, Furnace, Heat pump",Duct
,https://globaltestsupply.com,,,,,,,,
Start making money right now! Buy from Palletfly at wholesale prices to resell at retail prices!,https://palletfly.com,,,,(347) 450-1740,INFO@PALLETFLY.COM,,,Duct
,https://testequipmentdepot.com,,,,,,,,
,https://testo-direct.com,,,,,,,,
,https://testo.com,,,,,,,,
"AcPro – Authorized Distributor for Toshiba, Denco-FLAKT, Carrier, Tenkasolar Products and Solutions",https://acprodwc.com,,,,04 820 8063,office@acprodwc.com,"Carrier, Toshiba","Air conditioner, Furnace, Heat pump, Thermostat, Ventilation","Duct, Thermostat"
Soclima - Ventilação e Ar Condicionado,https://soclima.com,,,,923 170 012,geral@soclima.com,"Carrier, LG, Samsung, Toshiba",,
TOSHIBA Klimaanlagen und Wärmepumpen -sorgen für das beste Klima,https://toshiba-aircondition.com,,,,0316 80890,aircond.office@carrier.com,"Carrier, Toshiba",Chiller,
,https://toshiba-hvacspares.com,,,,,,,,
東芝ライフスタイル株式会社,https://toshiba-lifestyle.com,,,,,,Toshiba,,Duct
,https://toshiba.com,,,,,,,,
20 Years of Cool Solutions,https://csd-ltd.net,,,,,sales@csd-ltd.net,"Carrier, Fieldpiece, Toshiba, York",,Duct
,https://toshiba-carrier.co.jp,,,,,,,,
,https://hvacwholesales.com,,,,,,,,
English,https://trane.com,,,,,,Trane,"Air conditioner, Air handler, Chiller, Controls, Heat pump, Packaged unit","Coil, Duct, Fan, Refrigerant"
Your Local Pro is Ready to Help,https://tranecomfortair.com,,,,,,Trane,"Air conditioner, Air handler, Controls, Furnace, Heat pump, Packaged unit, Thermostat","Duct, Thermostat"
Trane® Home,https://tranehome.com,,,,,,Trane,,Duct
Source,https://tranesupply.com,,,,,,,,
WE’RE ALWAYS MOVING FORWARD,https://tranezone.com,,,,,,Trane,"Air conditioner, Air handler, Controls, Furnace, Heat pump, Thermostat","Duct, Thermostat"
Your Number One HVAC Suppliers,https://thehvacoutlet.com,,,,(859) 209-1112,,"Bryant, Rheem, WeatherKing","Air conditioner, Air handler, Furnace, Heat pump, Mini split, Thermostat, Ventilation","Capacitor, Coil, Control board, Duct, Evaporator coil, Fan, Filter, Heat strip, Ignition control, Refrigerant, Thermostat"
Weather King,https://weatherking.biz,,,,(866) 977-6440,,,,Duct
Home Heating and Cooling Products,https://weatherking.com,,,,,,"Gree, Rheem, Sure Comfort, WeatherKing","Air conditioner, Air handler, Furnace, Heat pump","Coil, Duct"
Young Supply Company,https://youngsupply.com,,,,,,Rheem,Ventilation,Duct
JC Residential & Light Commercial HVAC Equipment and Parts,https://yorknow.com,,,,,,York,"Air handler, Controls, Furnace, Heat pump, Humidifier, Packaged unit, Thermostat","Belt, Blower, Burner, Capacitor, Coil, Compressor, Condensate pump, Contactor, Contactors, Control board, Damper, Drain pan, Duct, Fan, Fan blade, Filter, Gasket, Grille, Insulation, Motor, Refrigerant, Relay, Relays, Seal, Sequencer, Thermocouple, Thermostat, Transformer, Wheel"
